Time [s],Value,Parity Error,Framing Error
0.005382666666667,'15' (0x0F),,
0.005502666666667,'4' (0x04),,
0.005622750000000,$ (0x24),,
0.005742750000000,'160' (0xA0),,
0.005862833333333,'188' (0xBC),,
0.005982833333333,'8' (0x08),,
0.006102916666667,'8' (0x08),,
0.006222916666667,@ (0x40),,
0.006343000000000,'0' (0x00),,
0.006463000000000,'2' (0x02),,
0.006583083333333,'16' (0x10),,
0.006703083333333,'128' (0x80),,
0.006823166666667,'0' (0x00),,
0.006943166666667,'4' (0x04),,
0.007063250000000,' ' (0x20),,
0.007183250000000,'0' (0x00),,
0.007303333333333,'1' (0x01),,
0.007423333333333,'8' (0x08),,
0.007543416666667,@ (0x40),,
0.007663416666667,'0' (0x00),,
0.007783500000000,'2' (0x02),,
0.007903500000000,'16' (0x10),,
0.008023583333333,'128' (0x80),,
0.008143583333333,'0' (0x00),,
0.008263666666667,$ (0x24),,
0.020397833333333,'15' (0x0F),,
0.020517833333333,'4' (0x04),,
0.020637916666667,$ (0x24),,
0.020757916666667,'160' (0xA0),,
0.020878000000000,'188' (0xBC),,
0.020998000000000,'8' (0x08),,
0.021118083333333,'8' (0x08),,
0.021238083333333,@ (0x40),,
0.021358166666667,'0' (0x00),,
0.021478166666667,'2' (0x02),,
0.021598250000000,'16' (0x10),,
0.021718250000000,'128' (0x80),,
0.021838333333333,'0' (0x00),,
0.021958333333333,'4' (0x04),,
0.022078416666667,' ' (0x20),,
0.022198416666667,'0' (0x00),,
0.022318500000000,'1' (0x01),,
0.022438500000000,'8' (0x08),,
0.022558583333333,@ (0x40),,
0.022678583333333,'0' (0x00),,
0.022798666666667,'2' (0x02),,
0.022918666666667,'16' (0x10),,
0.023038750000000,'128' (0x80),,
0.023158750000000,'0' (0x00),,
0.023278833333333,4 (0x34),,
0.035403000000000,'15' (0x0F),,
0.035523000000000,'4' (0x04),,
0.035643083333333,$ (0x24),,
0.035763083333333,'160' (0xA0),,
0.035883166666667,'188' (0xBC),,
0.036003166666667,'8' (0x08),,
0.036123250000000,'8' (0x08),,
0.036243250000000,@ (0x40),,
0.036363333333333,'0' (0x00),,
0.036483333333333,'2' (0x02),,
0.036603416666667,'16' (0x10),,
0.036723416666667,'128' (0x80),,
0.036843500000000,'0' (0x00),,
0.036963500000000,'4' (0x04),,
0.037083583333333,' ' (0x20),,
0.037203583333333,'0' (0x00),,
0.037323666666667,'1' (0x01),,
0.037443666666667,'8' (0x08),,
0.037563750000000,@ (0x40),,
0.037683750000000,'0' (0x00),,
0.037803833333333,'2' (0x02),,
0.037923833333333,'16' (0x10),,
0.038043916666667,'128' (0x80),,
0.038163916666667,'0' (0x00),,
0.038284000000000,'4' (0x04),,
0.040434666666667,'3' (0x03),,
0.040554750000000,'196' (0xC4),,
0.040674750000000,'0' (0x00),,
0.050398166666667,'15' (0x0F),,
0.050518166666667,'4' (0x04),,
0.050638250000000,$ (0x24),,
0.050758250000000,'160' (0xA0),,
0.050878250000000,'188' (0xBC),,
0.050998333333333,'8' (0x08),,
0.051118333333333,'8' (0x08),,
0.051238416666667,@ (0x40),,
0.051358416666667,'0' (0x00),,
0.051478500000000,'2' (0x02),,
0.051598500000000,'16' (0x10),,
0.051718583333333,'128' (0x80),,
0.051838583333333,'0' (0x00),,
0.051958666666667,'4' (0x04),,
0.052078666666667,' ' (0x20),,
0.052198750000000,'0' (0x00),,
0.052318750000000,'1' (0x01),,
0.052438833333333,'8' (0x08),,
0.052558833333333,@ (0x40),,
0.052678916666667,'0' (0x00),,
0.052798916666667,'2' (0x02),,
0.052919000000000,'16' (0x10),,
0.053039000000000,'128' (0x80),,
0.053159083333333,'0' (0x00),,
0.053279083333333,'20' (0x14),,
0.065403250000000,'15' (0x0F),,
0.065523333333333,'4' (0x04),,
0.065643333333333,$ (0x24),,
0.065763416666667,'160' (0xA0),,
0.065883416666667,'188' (0xBC),,
0.066003500000000,'8' (0x08),,
0.066123500000000,'8' (0x08),,
0.066243583333333,@ (0x40),,
0.066363583333333,'0' (0x00),,
0.066483666666667,'2' (0x02),,
0.066603666666667,'16' (0x10),,
0.066723750000000,'128' (0x80),,
0.066843750000000,'0' (0x00),,
0.066963833333333,'4' (0x04),,
0.067083833333333,' ' (0x20),,
0.067203916666667,'0' (0x00),,
0.067323916666667,'1' (0x01),,
0.067444000000000,'8' (0x08),,
0.067564000000000,@ (0x40),,
0.067684083333333,'0' (0x00),,
0.067804083333333,'2' (0x02),,
0.067924166666667,'16' (0x10),,
0.068044166666667,'128' (0x80),,
0.068164250000000,'0' (0x00),,
0.068284250000000,$ (0x24),,
0.080418416666667,'15' (0x0F),,
0.080538500000000,'4' (0x04),,
0.080658500000000,$ (0x24),,
0.080778583333333,'160' (0xA0),,
0.080898583333333,'188' (0xBC),,
